№,Страна,[a],"ВВП,",$млрд,[b]
1,США,30000
2,Китай,20000
3,Индия,7000
4,Россия,6500
5,Германия,4500
6,Япония,4400
7,Бразилия,4000
8,Франция,3500
9,Великобритания,3450
10,Италия,2300
11,Канада,2140.1
12,Мексика,1788.9
13,Австралия,1741.9
14,Республика Корея,1712.8
15,Испания,1581.2
16,Индонезия,1371.2
17,Нидерланды,1117.1
18,Турция,1108.5
19,Саудовская Аравия,1067.6
20,Швейцария,885.1
21,Польша,808.4
—,Китайская Республика,[c],756.6
22,Аргентина,654.9
23,Бельгия,630.1
24,Швеция,593.3
25,Ирландия,545.8
26,Австрия,519.7
27,Таиланд,514.9
28,Израиль,509.5
29,ОАЭ,504.2
30,Сингапур,501.4
31,Норвегия,485.5
32,Бангладеш,446.3
33,Филиппины,436.6
34,Вьетнам,433.7
35,Малайзия,415.6
36,Дания,405.2
37,Иран,403.5
38,Египет,393.9
39,ЮАР,377.7
—,Гонконг,[d],377.0
40,Нигерия,374.9
41,Колумбия,363.6
42,Румыния,345.9
43,Пакистан,338.2
44,Чили,335.7
45,Чехия,332.0
46,Финляндия,300.5
47,Португалия,287.4
48,Перу,267.6
49,Казахстан,260.5
50,Ирак,254.4
51,Новая Зеландия,249.0
52,Алжир,244.7
53,Греция,238.3
54,Катар,234.2
55,Венгрия,212.6
56,Украина,[e],177.2
57,Кувейт,161.8
58,Эфиопия,159.7
59,Марокко,144.0
60,Словакия,132.1
61,Эквадор,120.2
62,Доминиканская Республика,120.0
—,Пуэрто-Рико,[f],115.8
63,Оман,109.1
64,Кения,108.9
65,Гватемала,102.0
66,Болгария,101.6
67,Венесуэла,97.1,[h]
68,Ангола,94.4
69,Узбекистан,90.9
70,Коста-Рика,86.5
71,Люксембург,85.8
72,Панама,83.4
73,Хорватия,82.0
74,Кот-д’Ивуар,80.0
75,Танзания,79.4
76,Литва,77.9
77,Уругвай,77.2
78,Туркменистан,77.1,[h]
79,Азербайджан,76.6
80,Гана,76.3
81,Сербия,75.2
82,Шри-Ланка,74.8,[2022]
83,Белоруссия,71.8
84,Словения,68.2
85,ДР Конго,67.3
86,Мьянма,64.5
87,Сирия,60.0,[2010]
88,Уганда,51.8
89,Тунис,51.3
90,Иордания,51.0
91,Камерун,49.0
—,Макао,[d],47.1
92,Боливия,46.5
93,Ливия,45.0
94,Бахрейн,44.7
95,Парагвай,43.9
96,Латвия,43.6
97,Камбоджа,41.9
98,Непал,41.0
99,Эстония,40.8
100,Гондурас,34.9
101,Сальвадор,34.0
102,Зимбабве,32.22
103,Кипр,32.19
104,Сенегал,31.4
105,Исландия,31.02
106,Папуа — Новая Гвинея,31.0
107,Грузия,30.5
108,Замбия,28.4
109,Тринидад и Тобаго,28.1
110,Босния и Герцеговина,27.2
111,Судан,25.7
112,Армения,24.2
113,Гвинея,23.0
114,Албания,22.7
115,Ливан,21.8,[2022],[h]
116,Гаити,21.5
117,Мозамбик,21.4
118,Мальта,21.0
119,Мали,20.7
120,Габон,20.52
121,Ботсвана,20.45
122,Буркина-Фасо,20.38
123,Монголия,19.9
124,Бенин,19.4
125,Ямайка,18.9
—,Государство Палестина,[c],18.6
126,Йемен,18.4
127,Чад,17.5
128,Никарагуа,17.4
129,Молдавия,17.052
130,Гайана,17.050
131,Нигер,16.5
132,Мадагаскар,15.8
133,Лаос,15.2
134,Бруней,15.1
135,Северная Македония,14.8
136,Афганистан,14.48,[2022],[h]
137,Республика Конго,14.42
138,Маврикий,14.37
139,Руанда,14.0
140,Багамские Острова,13.8
141,Малави,13.1
142,Кыргызстан,12.8
143,Намибия,12.3
144,Таджикистан,11.9
145,Сомали,11.7
146,Мавритания,10.54
—,Республика Косово,[c],10.48
147,Экваториальная Гвинея,10.28
148,Того,9.06
149,Черногория,7.41
150,Южный Судан,7.30
151,Мальдивы,6.69
152,Барбадос,6.39
153,Фиджи,5.50
154,Эсватини,4.87
155,Либерия,4.39
156,Бурунди,4.22
157,Джибути,4.02
—,Аруба,[g],3.94
158,Сьерра-Леоне,3.91
159,Суринам,3.75
160,Андорра,3.73
161,Белиз,3.09
162,Бутан,2.90
163,ЦАР,2.63
164,Кабо-Верде,2.52
165,Сент-Люсия,2.46
166,Гамбия,2.36
167,Восточный Тимор,2.34
168,Лесото,2.25
169,Сейшельские Острова,2.15
170,Эритрея,1.98,[2019]
171,Гвинея-Бисау,1.97
172,Антигуа и Барбуда,1.95
173,Сан-Марино,1.95
174,Соломоновы Острова,1.63
175,Коморы,1.34
176,Гренада,1.33
177,Вануату,1.17
178,Сент-Китс и Невис,1.07
179,Сент-Винсент и Гренадины,1.04
180,Самоа,0.934
181,Доминика,0.658
182,Сан-Томе и Принсипи,0.656
183,Тонга,0.547
184,Микронезия,0.460
185,Маршалловы Острова,0.284
186,Кирибати,0.279
187,Палау,0.267
188,Науру,0.154
189,Тувалу,0.062
н/д,КНДР,н/д
н/д,Куба,н/д
н/д,Лихтенштейн,н/д
н/д,Монако,н/д
Всего в мире,104791.1
Европейский союз,18347.4
Еврозона,15545.0
№,Страна,"ВВП,",$млрд,[i]
1,США,25439.7
2,Китай,17963.2
3,Япония,4256.4
4,Германия,4082.5
5,Индия,3416.6
6,Великобритания,3089.1
7,Франция,2779.1
8,Россия,2240.4
9,Канада,2161.5
10,Италия,2049.7
11,Бразилия,1920.1
12,Австралия,1693.0
13,Республика Корея,1673.9
14,Мексика,1465.9
15,Испания,1417.8
16,Индонезия,1319.1
17,Саудовская Аравия,1108.6
18,Нидерланды,1009.4
19,Турция,907.1
20,Швейцария,818.4
21,Польша,688.1
22,Аргентина,631.1
23,Норвегия,593.3
24,Швеция,591.7
25,Бельгия,583.4
26,Ирландия,533.1
